Name,Population
Sant Julià del Llor i Bonmatí,1264
Sant Just Desvern,16389
Sant Llorenç d'Hortons,2517
Sant Llorenç de la Muga,249
Sant Llorenç de Morunys,993
Sant Llorenç Savall,2361
Sant Martí d'Albars,106
Sant Martí de Centelles,1093
Sant Martí de Llémena,626
Sant Martí de Riucorb,685
Sant Martí de Tous,1175
Sant Martí Sarroca,3130
Sant Martí Sesgueioles,395
Sant Martí Vell,242
Sant Mateu de Bages,644
Sant Miquel de Campmajor,232
Sant Miquel de Fluvià,798
Sant Mori,177
Sant Pau de Segúries,674
Sant Pere de Ribes,29339
Sant Pere de Riudebitlles,2364
Sant Pere de Torelló,2436
Sant Pere de Vilamajor,4248
Sant Pere Pescador,2138
Sant Pere Sallavinera,162
Sant Pol de Mar,4997
Sant Quintí de Mediona,2101
Sant Quirze de Besora,2148
Sant Quirze del Vallès,19549
Sant Quirze Safaja,644
Sant Ramon,496
Sant Sadurní d'Anoia,12590
Sant Sadurní d'Osormort,86
Sant Salvador de Guardiola,3130
Sant Vicenç de Castellet,9326
Sant Vicenç de Montalt,6007
Sant Vicenç de Torelló,1975
Sant Vicenç dels Horts,28103
Santa Bàrbara,3821
Santa Cecília de Voltregà,173
Santa Coloma de Cervelló,8038
Santa Coloma de Farners,12601
Santa Coloma de Gramenet,118738
Santa Coloma de Queralt,2931
Santa Cristina d'Aro,5194
Santa Eugènia de Berga,2233
Santa Eulàlia de Riuprimer,1259
Santa Eulàlia de Ronçana,7114
Santa Fe del Penedès,379
Santa Llogaia d'Àlguema,341
Santa Margarida de Montbui,9641
Santa Margarida i els Monjos,7337
Santa Maria d'Oló,1065
Santa Maria de Besora,162
Santa Maria de Martorelles,851
Santa Maria de Merlès,177
Santa Maria de Miralles,140
Santa Maria de Palautordera,9138
Santa Oliva,3287
Santa Pau,1567
Santa Perpètua de Mogoda,25409
Santa Susanna,3293
Santpedor,7384
Sarral,1595
Sarrià de Ter,4937
Sarroca de Bellera,124
Sarroca de Lleida,403
"Saus, Camallera i Llampaies",815
Savallà del Comtat,65
La Secuita,1665
La Selva de Mar,181
La Selva del Camp,5598
Senan,53
La Sénia,5893
Senterada,131
La Sentiu de Sió,467
Sentmenat,8645
Serinyà,1123
Seròs,1887
